Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
EP1776295,26.04.2007,PIZZA BOX,"[2005020587 2005-06-10T23:59:59.000Z US, 86554004 2004-06-10T23:59:59.000Z US]",B65D 85/36;B65D 5/00;B65D 5/66,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,
US6010325,05.01.2000,Pizza die,,A21C 11/00;B29C 43/02;A21C 11/00;A21C 11/00,Lawrence Equipment,Lawrence Eric C.,
WO2011106475,02.09.2011,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[61/308,487 26.02.2010 US, 61/320,337 02.04.2010 US, 13/033,650 24.02.2011 US]",A21C 9/04;A21C 9/00;A21C 9/08,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.","FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.",
EP1444897,12.08.2004,Method and apparatus for cooking a pizza,"[03250812 2003-02-10T23:59:59.000Z EP, 0119494 2001-08-10T23:59:59.000Z GB, 0122563 2001-09-18T23:59:59.000Z GB, 0200092 2002-01-04T23:59:59.000Z GB, 77699304 2004-02-10T23:59:59.000Z US]",A21B 3/15;A21B 3/15;A47J 37/01,SMITH RAYMOND,SMITH RAYMOND,
EP0104743,05.04.1984,LAMINATE PIZZA CRUST,[41388882 1982-09-01T23:59:59.000Z US],A21D 13/00;A21D 8/00;A21D 13/00,"SCHWAN'S SALES ENTERPRISES, INC.","RICKE, ROY R.",
US4463021,01.08.1984,Pizza cone with filling,,A21D 13/00;A21D 13/00,EUFEMIA JOSEPH C,Eufemia Joseph C.,
US20110138750,17.06.2011,Convertible Pizza Box,,B65D 5/54;B65B 9/00,Walsh William R.,Walsh William R.,
US5950912,15.09.1999,Dual pizza pie box,,B65D 5/49;B65D 5/50;B65D 5/50;B65D 85/30;B65D 85/36,ECONOMOPOULOS; DEMOSTHENES O.,Economopoulos Demosthenes O.,
US4494786,23.01.1985,Pizza oven tool,,A47J 49/00;A47J 45/10;A47J 45/00;A47J 45/10,"Pizza Hut, Inc.",Paulus John R.;Keck Marvin C.,
US20130068830,22.03.2013,Reusable pizza container,,B65D 5/355;B65D 5/54,Colon Epifanio;,Colon Epifanio,
US4605579,13.08.1986,Decorative heat retaining pizza cover,,B65D 51/00;G09F 23/00;G09F 23/06,ARMENO MICHAEL;PARLA RALPH L,Armeno Michael;Parla Ralph L.,
WO2013062915,03.05.2013,METHOD AND SYSTEM FOR ASSEMBLING A PIZZA,"[61/550,506 24.10.2011 US]",G06Q 50/12,"PIZZA HUT, INC.","RADER, Jeff",
US20100065571,19.03.2010,Pizza pan with domed center,,A21B 3/00;A21B 3/13,OLSON JOHN,Olson John,
US6398028,05.06.2002,Pizza delivery system and method,[09635047 2000-08-04T23:59:59.000Z US],B65D 85/00;A45C 11/20;B65H 37/00;B65H 5/28;B65H 37/00,STOVALL JAMES G.,"Stovall, James G.",
US20110217434,09.09.2011,Pizza Press And Method Of Making A Pizza,,A47J 37/01;A21D 13/00;A21D 8/02,Brady Shane P.,Brady Shane P.,
CA2485436,21.11.2003,AMBIDEXTROUS SECTIONAL PIZZA BOX,"[60/378,987 2002-05-10T23:59:59.000Z US]",B65D 85/36;A47G 21/00,"PIZZA BOX 2000, INC.",,
US5117749,03.06.1992,Machine for the automated preparation of pizzas,,A21C 9/04;A21C 9/08,"Rykaart, Inc.",Bakker Evert,
US20080073416,28.03.2008,Convertible pizza box,,B65D 5/00;B65D 5/00,WALSH WILLIAM R,Walsh William R.,
EP2284086,17.02.2011,Multi pizza packaging,[200906013U 2009-08-04T23:59:59.000Z TR],B65D 5/00;B65D 5/42;B65D 5/66,OLMUKSA INTERNAT PAPER SABANCI AMBALAJ SANAYI VE TICARET ANONIM SIRKETI,ZEREY MEHMET;OEZTUERK AHSEN,
US20080203746,29.08.2008,Folding pizza peel,,A47J 43/28,"Wilton Industries, Inc.",Cunningham Chris;Christman Paul,
US20080149696,27.06.2008,Pizza box,[10865540 2004-06-10T23:59:59.000Z US],B65D 5/00;B65D 5/00;B65B 7/00;B65B 7/00;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,KUHN WAYNE H;PIZZITOLA FRANK,Kuhn Wayne H.;Pizzitola Frank,
EP0898892,04.03.1999,Food dough for pizza,[97830424 1997-08-18T23:59:59.000Z EP],A21D 2/36;A21D 13/00;A21D 2/36;A21D 13/00,GRIECO LEONARDO,GRIECO LEONARDO,
CA2344924,23.11.2001,PIZZA OVEN DECK,"[09/576,143 2000-05-22T23:59:59.000Z US]",A21B 1/02;A21B 1/28;A21B 1/40;A47J 39/00;F24C 15/10,THE GARLAND GROUP,"KORINCHOCK, RICHARD JOHN",
WO1999051101,15.10.1999,PIZZA DIE,"[09/056,989 08.04.1998 US]",A21C 11/00,LAWRENCE EQUIPMENT,"LAWRENCE, Eric, Clay",
US4738028,20.04.1988,Pizza cutter,,B26B 3/00;B26B 25/00;B26B 25/00,BELOKIN MARTIN P;BELOKIN NORMAN P,Belokin Martin P.;Belokin Norman P.,
CA2694618,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,"[11/831,609 2007-07-31T23:59:59.000Z US]",A21D 13/00;B65D 81/34,"SCHWAN'S GLOBAL SUPPLY CHAIN, INC.","RETTEY, DAVID CHARLES;PAFKO, WAYNE MICHAEL;HASSE, JOEY J.;MCGILLIVRAY, JIM A.;SHOMO, ROBERT B., JR.;WALTER, MICHAELLE RUTH",
US4632836,31.12.1986,Pizza preparation and delivery system,,B60P 3/00;A23L 1/10;A21B 1/00;A21B 1/52;A21B 7/00;A21B 7/00,"Pizza Hut, Inc.",Abbott Maxwell T.;Streepy Gary S.;Paulus John R.;Barrera Ricardo;Brewer David E.,
US5260076,10.11.1993,Pizza crust,,A21D 2/36;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00;A21D 13/00;A21D 13/00,American Maize-Products Company,Furcsik Susan;Stankus Carol,
US4649053,11.03.1987,Method for making pizza,[06748145 1985-06-21T23:59:59.000Z US],A21D 8/00;A21D 13/00;A21D 13/00,LAMONICA MARK,Lamonica Mark,
US20140242222,29.08.2014,Frozen pizza preparation package and method,,A21D 13/00,Weinstein Michael;Weinstein Robert,Weinstein Michael;Weinstein Robert,
US20120111931,11.05.2012,DOUBLE PIZZA PACK,[IL 202628 2009-12-09T23:59:59.000Z IL],B65D 5/42,KIMHI Yaniv,KIMHI Yaniv,
CA1203417,23.04.1986,PIZZA CONE WITH FILLING,"[480,765 1983-03-31T23:59:59.000Z US]",A21D 13/00,,"EUFEMIA, JOSEPH C.",
US5454295,04.10.1995,Oven for baking pizza,"[07166206 1988-03-10T23:59:59.000Z US, 07520977 1990-05-09T23:59:59.000Z US]",A21B 1/00;A21B 1/00;A21B 1/24;A21B 1/48;A21B 5/00;A21B 5/02;F24C 15/32;F24C 15/32,"Pizza Hut, Inc.",Cox Thomas L.;Beltz John D.;Johnson Donald L.;Pellin Johnny J.;Riley Gary V.;Wiebe Randall J.,
US6439529,28.08.2002,Stackable pizza box support,[09817576 2001-03-26T23:59:59.000Z US],B65D 21/032;A47G 29/00;B65D 81/05;B65D 81/05;B65D 85/30;B65D 85/36,WONG CHRISTOPHER,"Wong, Christopher",
US20070082091,13.04.2007,Pizza sandwich,[11245573 2005-10-07T23:59:59.000Z US],A21D 13/00;A21D 13/00,KLAVON KULSOOM L;BUTLER GEORGE P,Klavon Kulsoom L.;Butler George Philip,
US20080149695,27.06.2008,Pizza box,,B65D 5/20;B65D 5/20;B65D 5/00;B65D 5/00;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,International Paper,Kuhn Wayne H;Pizzitola Frank,
CA1100916,13.05.1981,THERMAL PIZZA PLATE,,B65D 81/38;B65D 85/72,,"BACA, CARLOS M.",
WO2013033586,08.03.2013,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[13/222,319 31.08.2011 US, 61/642,855 04.05.2012 US]",A23G 3/20,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.","FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.",
EP1857377,22.11.2007,Container for pizzas,[200601276 2006-05-18T23:59:59.000Z ES],B65D 85/36,VIDECART SA,TEIXIDOR CASANOVAS PERE;CANALES CANAS FERNANDO MANUEL,
US20040094436,21.05.2004,Pizza delivery box,"[10703044 2003-11-06T23:59:59.000Z US, 60424622 2002-11-07T23:59:59.000Z US]",B65D 5/50;B65D 81/26;B65D 81/26;B65D 85/30;B65D 85/36,,"Potenza, Jr. Louis F.;Pieroni Lisa A.",
CA2075516,12.02.1994,PIZZA CONTAINER,,B65D 1/34;A47G 19/02;B65D 43/02,"FISHER, RONALD F.","FISHER, RONALD F.",
CA1331316,10.08.1994,COMPACT PIZZA OVEN,"[07/258,967 1988-10-17T23:59:59.000Z US]",A47J 37/04;A21B 1/26;F24C 15/32,,"BINGHAM, LYNN R.",
US20100176137,16.07.2010,Combination pizza box and leveling device,,B65D 5/44;F16M 11/20,Marinelli Vito;Macor Richard J.,Marinelli Vito;Macor Richard J.,
EP1262102,05.12.2002,Process for pizza preparation,[01113232 2001-05-30T23:59:59.000Z EP],A21C 11/00;A21C 11/00,ADVANCED FOOD SYSTEM S A;GRIECO LEONARDO,GRIECO LEONARDO,
US5681602,29.10.1997,Pizza sauce composite preform and method for making same,,A23L 1/06;A21D 13/00;A21D 13/00;A23L 1/05;A23L 1/0562;A23L 1/39;A23L 1/39,Doskocil Companies Incorporated,Alden Don E.;Seideman Steven C.;Bolton James C.,
US5273174,29.12.1993,Pizza container,[2075516 1992-08-10T23:59:59.000Z CA],B65D 1/24;A47G 19/00;A47G 19/02,FISHER RONALD F,Fisher Ronald F.,
CA2059342,13.09.1992,MICROWAVE RECONSTITUTION OF FROZEN PIZZA,"[666,943 1991-03-11T23:59:59.000Z US]",A23L 1/025;A21D 6/00;A21D 13/00;B65D 81/34,,"PELEG, YIGAL",
US5887783,31.03.1999,Level-indicating pizza box,,B65D 5/44;B65D 5/42;B65D 5/42;B65D 79/00;B65D 79/02;B65D 85/30;B65D 85/36,PROKOPIS; J. GUS,Prokopis J. Gus,
US5472139,06.12.1995,Pizza box,,B65D 1/34;B65D 1/34;B65D 1/34;B65D 85/30;B65D 85/36,Invention Machine Corporation,Valdman Michael;Litvin Semyon;Gridnev Igor;Gerasimov Vladimir M.;Zakharov Alexey N.;Ljubomirsky Alexander L.;Vasilevskaja Ilona,
WO2011070563,17.06.2011,A PIZZA PACK,[202628 09.12.2009 IL],B65D 5/00,"KIMHI, Yaniv;KIMHI, Haim;LEVI, Tomer Refael","KIMHI, Yaniv",
CA1299924,06.05.1992,MANUFACTURE OF PIZZA CRUSTS,[8712449 1987-05-27T23:59:59.000Z GB],A21C 11/00;A21C 13/02,,"BAUER, MARSHALL",
EP1985556,30.10.2008,Pizza box,"[05750385 2005-06-10T23:59:59.000Z EP, 86554004 2004-06-10T23:59:59.000Z US]",B65D 85/36;B65D 5/00;B65D 5/66,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,
US4924763,16.05.1990,Compact pizza oven,,A21B 1/00;A21B 1/26;A47J 37/04;A47J 37/04,Pizza Hut,Bingham Lynn R.,
US20030183164,03.10.2003,Pizza-topping apparatus,[10107342 2002-03-28T23:59:59.000Z US],A21C 9/04;A21C 9/00;A21C 9/04,,"Pierre, Jean E.",
US20090035423,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,,B65D 81/34;B65D 81/34,,"Rettey David Charles;Pafko Wayne Michael;Hasse Joey J.;McGillivray Jim A.;Shomo, JR. Robert B;Walter Michelle Ruth",
US20120185086,20.07.2012,AUTOMATED PIZZA PREPARATION APPARATUS,,A21C 9/08;G06F 17/00;A21D 6/00,KHATCHADOURIAN Puzant;Papakhian Daniel;Kneller Mikhail;Yeung George,KHATCHADOURIAN Puzant;Papakhian Daniel;Kneller Mikhail;Yeung George,
US6629607,08.10.2003,Pizza storage device,[09849416 2001-05-04T23:59:59.000Z US],A45C 11/20;A45C 11/20,GIBSON DANIELLE,"Gibson, Danielle",
US20070281057,07.12.2007,Container for Pizzas,[200601276 2006-05-18T23:59:59.000Z ES],A23B 7/144;A23B 7/148,CASANOVAS PERE T;CANALES CANAS FERNANDO M,Casanovas Pere Teixidor;Canales Canas Fernando Manuel,
US20070100495,04.05.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 60749956 2005-12-13T23:59:59.000Z US]",G06F 17/00;G06F 17/00,SIMMONS DAVID O,Simmons David Odell,
US4573388,05.03.1986,Pizza docker,,B26F 1/24;A21C 11/00;A21C 11/12;B26F 1/00;B26F 1/24,"Automated Portion Control Technology, Inc.",Sullivan Norman D.;Baker Forrest E.,
US6425388,31.07.2002,Pizza oven deck,[09576143 2000-05-22T23:59:59.000Z US],A21B 1/00;F24C 15/32;A21B 1/00;A21B 1/28;A47J 39/00;A47J 39/00;F24C 15/10;F24C 15/10,The Garland Group,"Korinchock, Richard John",
US20070090124,27.04.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 11638127 2006-12-13T23:59:59.000Z US]",G07F 11/00;G07F 11/00;G07F 9/10;G07F 9/10;G07F 11/02;G07F 11/16;G07F 11/24;G07F 11/38;G07F 11/70;G07F 11/70,SIMMONS DAVID O,Simmons David Odell,
US20030209592,14.11.2003,Ambidextrous sectional pizza box,"[10435460 2003-05-12T23:59:59.000Z US, 60378987 2002-05-10T23:59:59.000Z US]",B65D 5/54;A47G 21/00;B65D 85/36,"Pizza Box 2000, Inc.",Holden Christopher Guy Lawrence,
CA2359851,26.04.2002,PIZZA BAKING PAN,"[09/696,362 2000-10-25T23:59:59.000Z US]",A21B 5/00;A47J 37/01,"KRAFT FOODS HOLDINGS, INC.","RYWALSKI, GAIL",
US5508049,17.04.1996,Pizza pie with concentric rings of crust,[08080081 1993-06-18T23:59:59.000Z US],A21D 13/00;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,"Silverback Environments, Inc.",Kordic Branko,
US20070093933,27.04.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 60749958 2005-12-13T23:59:59.000Z US]",G06F 17/00;G06F 17/00,SIMMONS DAVID O,Simmons David Odell,
WO1984003815,12.10.1984,PIZZA CONE WITH FILLING,[null 30.12.1899 null],A21D 13/00,,,
CA2205097,30.10.1998,MICROWAVABLE SEMI-CIRCULAR PIZZA PRODUCT AND PACKAGING COMBINATION,"[08/844,111 1997-04-29T23:59:59.000Z US]",A21D 13/00;A21C 9/08;A21C 11/00;B65D 81/34,"PAULUCCI, JENO F.","PAULUCCI, JENO F.",
US20070116803,25.05.2007,Combination breadsticks and pizza product,"[11561015 2006-11-17T23:59:59.000Z US, 60739009 2005-11-23T23:59:59.000Z US]",A21D 13/00;A21D 6/00;A21D 10/00,"Newsom Jon Frank;Little Caesar Enterprises, Inc.",Newsom Jon Frank,
US5716086,11.02.1998,Pizza paddle apparatus,,A47J 43/28;A21B 3/00;A21B 3/00;A47J 43/00;A47J 43/28,BIFULCO; PHIL,Bifulco Phil,
WO2002096206,06.12.2002,PROCESS FOR PIZZA PREPARATION,[01113232.1 30.05.2001 EP],A21C 11/00,"ADVANCED FOOD SYSTEM S.A.;GRIECO, Leonardo","GRIECO, Leonardo",
US20030031831,14.02.2003,Apparatus for use with pizza dough,[09923219 2001-08-07T23:59:59.000Z US],B32B 3/00;A21C 11/00;A21C 11/00,,Donarumia Anthony,
WO2009018082,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,"[11/831,609 31.07.2007 US]",A21D 13/00;B65D 81/34,"SCHWAN'S GLOBAL SUPPLY CHAIN, INC.;RETTEY, David, Charles;PAFKO, Wayne, Michael;HASSE, Joey, J.;MCGILLIVRAY, Jim, A.;SHOMO, Robert, B., Jr.;WALTER, Michaelle, Ruth","RETTEY, David, Charles;PAFKO, Wayne, Michael;HASSE, Joey, J.;MCGILLIVRAY, Jim, A.;SHOMO, Robert, B., Jr.;WALTER, Michaelle, Ruth",
US6150635,22.11.2000,Single serving pizza cooker,,F24C 7/10;A47J 37/06;A47J 37/06;A47J 37/10;A47J 37/10,HANNON; GEORGIA A.;HANNON; TODD J.,Hannon Georgia A.;Hannon Todd J.,
US20090038483,13.02.2009,High density disk and ellipse for cooking pizza,,H05B 6/12;H05B 6/12,,Scorziello Dino,
US4661361,29.04.1987,Method of making a pizza,,A21D 8/02;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,MONGIELLO ANTHONY T;MONGIELLO SR LAWRENCE A;MONGIELLO SR ANGELO A,Mongiello Anthony T.;Mongiello Lawrence A.;Mongiello Angelo A.,
CA2650085,,METHOD FOR PRODUCING A CORELESS FROZEN PIZZA,,A21D 10/02;A21D 8/02;A21D 13/00;A23L 1/00,"SUNATORI, GO SIMON",,
US4250618,18.02.1981,Pizza cutter,,A21C 15/00;A21C 15/04;B26D 3/24;B26D 3/24,CUSTER MICHAEL D;RORABAUGH GENE L,Custer Michael D.;Rorabaugh Gene L.,
US5243899,15.09.1993,Apparatus for making a pizza topping disk,,A21C 9/00;A21C 9/04,"Pizza Hut, Inc.",Moshier Mark W.;Behm Larry R.;Jaax Susan,
US08365981,06.02.2013,Device for supporting a second pizza in a pizza box and method of use,,B65D 25/04,Perlsweig Leon,Perlsweig Leon,
EP0503302,17.09.1992,Microwave reconstitution of frozen pizza,"[666943  , US19910666943  , 66694391 1991-03-11T23:59:59.000Z US]",A21D 13/00;A21D 13/00;B65D 81/34,NESTLE SA,PELEG YIGAL,
EP1375360,03.01.2004,Package for pizzas,[PR20020008U 2002-06-18T23:59:59.000Z IT],B65D 85/36;B65D 5/42;B65D 5/42;B65D 85/36,PAREN SRL,GONIZZI GIANLUCA,
US20070241110,19.10.2007,Pizza container,[RM2004A0364 2004-07-19T23:59:59.000Z IT],B65D 21/00;B65D 6/28;B65D 8/04;B65D 8/18;B65D 45/00;B65D 85/62,Gruppo Pluripack s.r.l.,Belleggia Giulia,
US20140004229,03.01.2014,Pizza and Method of Preparation,,A21D 13/00;B65D 85/00;A21D 2/00;A23P 1/08,DeLisle Steven,DeLisle Steven,
US5775208,08.07.1998,Pizza pan system and method,,A47J 37/01;A47J 37/10;A21B 3/00;A22C 7/00;A21B 3/13;A21C 11/00;A21C 11/00;A47J 37/10;A47J 37/10,KIMPLE; ROBERT J.,Kimple Robert J.,
WO1996028978,27.09.1996,PIZZA PAN AND METHOD,"[08/406,313 17.03.1995 US]",A21B 3/13,"PIZZA HUT, INC.","WOODWARD, Steve;SCHEIBMEIR, Patricia;MCDANIEL, Deborah;PROCTOR, Valerie",
US4834995,31.05.1989,Method for preparing pizza dough,,A21D 13/00;A21D 13/00;A21D 17/00;A21D 17/00;A23L 1/176;A23L 1/176,CANZONERI SALAVATORE,Canzoneri Salavatore,
US5480031,03.01.1996,Combined pizza box lid support and cutter,,A45C 11/20;B65D 85/00;B26B 27/00;B26B 27/00;B65D 85/30;B65D 85/36,MAULTASCH; JONATHAN;MAULTASCH; BRUCE,Maultasch Jonathan;Maultasch Bruce,
US4367243,05.01.1983,Method for preparing cooking pizza,,A21B 3/00;A21B 3/13;A21D 13/00;A21D 13/00,"Pizza Hut, Inc.",Brummett Barry J.;O'Neill Edward E.,
US5523104,05.06.1996,Method of cooking pizza,,A23L 1/00;A47J 37/10;A47J 37/10,KIRK; ALAN J. E.,Kirk Alan J. E.,
US6227093,09.05.2001,Pizza docking device,[09468766 1999-12-21T23:59:59.000Z US],B26D 5/08;A21C 11/00;A21C 11/12,"RENSKY, JR. BERNARD J.","Rensky, Jr., Bernard J.",
US20100107899,07.05.2010,Mechanized apparatus for the preparation of pizzas,[T02008U000144 2008-10-30T23:59:59.000Z IT],A21B 3/00;A21B 3/07,CMT COSTRUZIONI MECCANICHE E TECNOLOGIA S.P.A.,Tomatis Stefano,
US5441751,16.08.1995,Precooked pan pizza dough,"[07872945 1992-04-21T23:59:59.000Z US, 08101376 1993-08-02T23:59:59.000Z US]",A21D 13/00;A21D 6/00;A21D 6/00;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,VAGANI; OSVALDO E.,Vagani Osvaldo E.,
US5894028,14.04.1999,Pizza sauce disk and method for making same,[08410338 1995-03-24T23:59:59.000Z US],A23L 1/06;A21D 13/00;A21D 13/00;A23L 1/05;A23L 1/0562;A23L 1/39;A23L 1/39,"Doskocil Food Service Company, L.L.C.",Alden Don E.;Seideman Steven C.;Bolton James C.,
CA1312642,13.01.1993,COMPACT PIZZA PREPARATION AND DELIVERY VEHICLE,"[07/258,969 1988-10-17T23:59:59.000Z US]",B60P 3/00;B60P 3/025;F24C 7/10,,"BINGHAM, LYNN R.;HENKE, JEROME R.",
US20140174039,27.06.2014,PIZZA SLICE CONTAINER,,A47G 19/03,"PIZZA ON ""DA"" GO, LLC;PIZZA ON ""DA"" GO, LLC",DiMeo Michele N.,
US20060040037,24.02.2006,Prodigy pizza-John Endicott's original low-carb pizza,[10777671 2004-08-18T23:59:59.000Z US],A23C 19/00;A23C 19/00,ENDICOTT JOHNNY K,Endicott Johnny Keith,
US5789009,05.08.1998,Pizza pie with crust structure,"[08080081 1993-06-18T23:59:59.000Z US, 08445386 1995-05-19T23:59:59.000Z US]",A21D 13/00;A21D 13/00;A21D 13/00,"Silverback Environments, Inc.",Kordic Branko;Dube Roger R.,
US5968566,20.10.1999,Refrigerated yeast-raised pizza dough,[08017809 1996-05-14T23:59:59.000Z US],A21D 2/16;A21D 2/00;A21D 2/16;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00,MLP Operating Company,McDaniel Deborah;Aulik David J.,
US6626091,01.10.2003,Pizza screen manufacturing apparatus,[10374991 2003-02-28T23:59:59.000Z US],A21C 9/04;A23L 1/00;A21C 9/00;A21C 9/08;A21C 9/04;A23L 3/04;A21C 9/08;A23P 1/00;A23L 1/00;A23L 1/00;A23L 3/02;A23L 3/04;A23P 1/00;A23P 1/00,,"Lopresti, Joseph;Bordonaro, Jim J.;Salerno, Frank",
US5680956,29.10.1997,Pizza pan and method,,A21D 8/00;A21B 3/13;A21B 3/00;A21B 3/13,"Pizza Hut, Inc.",Woodward Steve;Scheibmeir Patricia;McDaniel Deborah;Proctor Valerie,
WO2005067439,29.07.2005,VENDING OF CUSTOMER-CONFIGURED PIZZA PREPARATION,"[10/751,143 02.01.2004 US]",G07F 9/10;G07F 11/24;G07F 11/38;G07F 11/70,"SIMMONS, David, Odell","SIMMONS, David, Odell",
EP2230184,23.09.2010,Pizza packaging,[2002639 2009-03-19T23:59:59.000Z NL],B65D 1/34;B65D 65/46;B65D 85/36,VAN BALLEGOIJEN-DE JONG TIJS,VAN BALLEGOIJEN-DE JONG TIJS,
US4865219,13.09.1989,Serving platter for pizza pan,[07040057 1987-04-20T23:59:59.000Z US],A47G 19/00;A47G 19/08;A47J 36/00;A47J 36/34,Logan - Barlow,Logan Eugene T.;Barlow Richard A.;Logan James E.,
US4785968,23.11.1988,Serving platter for pizza pan,,A47J 37/01;A47G 19/00;A47G 19/08;A47J 36/00;A47J 36/34,"Logan-Barlow, Inc.",Logan Eugene T.;Barlow Richard A.;Logan James E.,
US5009867,24.04.1991,C-gel composite pizza snack kit,"[06658618 1984-10-09T23:59:59.000Z US, 07307069 1989-02-06T23:59:59.000Z US]",A23C 19/00;A23C 19/076;A23C 19/082;A23C 20/00;A23C 20/00;A23L 1/05;A23L 1/052;A23L 1/0532;A23L 1/0562,"Kraft General Foods, Inc.",Kratochvil John F.,
US20050123659,10.06.2005,Pizza making method and system,"[00109611 2000-05-05T23:59:59.000Z EP, 01113720 2001-06-05T23:59:59.000Z EP, 1997BZ0044 1997-08-19T23:59:59.000Z IT, BZ2001A000033 2000-06-07T23:59:59.000Z IT]",A23G 3/00;A21C 1/00;A21C 1/06;A21C 1/14;A21C 9/00;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/00;A21C 15/00;A21C 15/00;A21D 13/00;A21D 13/00;B01F 7/00;B01F 7/00;B01F 7/02;B01F 7/14;B01F 15/00;B01F 15/00;B01F 15/02;B01F 15/02,,Torghele Claudio;Malfatti Pierluigi,
US20050175753,12.08.2005,Method and apparatus for cooking a pizza,"[03250812 2003-02-10T23:59:59.000Z EP, 0119494 2001-08-10T23:59:59.000Z GB, 0122563 2001-09-18T23:59:59.000Z GB, 0200092 2002-01-04T23:59:59.000Z GB]",A21D 6/00;A21B 3/00;A21B 3/15;A47J 37/01;A47J 37/01,,Smith Raymond,
US5492055,21.02.1996,Pizza oven,[07972147 1992-11-05T23:59:59.000Z US],A21B 1/14;A21B 1/10;A21B 1/00;A21B 1/28;A21B 1/26;A21B 1/42,"Bakers Pride Oven Co., Inc.",Nevin Ira;Nath Narendra;Musharbash Faris S.,
US20020176921,29.11.2002,Pizza making method and system,"[00109611 2000-05-05T23:59:59.000Z EP, 01113720 2001-06-05T23:59:59.000Z EP, 1997BZ0044 1997-08-19T23:59:59.000Z IT, 2001BZ0033 2001-06-07T23:59:59.000Z IT]",A21C 1/06;A21C 9/00;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,"Arios, S.A.",Torghele Claudio;Malfatti Pierluigi,
US4100676,19.07.1978,Pizza cutting board,,A21C 15/00;A21C 15/04;B26D 3/24;B26D 3/24,FERGUSON ROBERT H,Ferguson Robert H.,
USRE033508,26.12.1990,Pizza preparation from comminuted cheese,[07036022 1987-04-08T23:59:59.000Z US],A21D 13/00;A21D 13/00;A23C 19/00;A23C 19/097,Leprino Foods Company,Kielsmeier Lester O.;Barz Richard L.;Allen Wesley J.,
US20080134517,13.06.2008,Pizza cutting and serving device,[60873091 2006-12-07T23:59:59.000Z US],A21C 15/00;A21C 15/04;B26B 13/00;B26B 13/22,"Kiss S&;C, Inc.",Bosworth Cheri;Manross Sean,
US20080089978,18.04.2008,LACTEAL COATED PIZZAS,,A23L 1/00;A23L 1/00;A21D 10/00;A21D 10/00;A23C 9/00;A23C 9/00;A23C 9/12;A23C 9/12;A23G 3/00;A23G 3/00;A23L 1/212;A23L 1/212;A23L 1/302;A23L 1/302;A23L 1/31;A23L 1/31,"Body Structures, Inc.",Grigg Louise J.;Jonsan John,
CA2792833,01.10.2010,PIZZA WITH PERIPHERAL CRUST STRUCTURE,"[12/409,144 2009-03-23T23:59:59.000Z US]",A21D 13/00,"MATTHEWS, KEVIN P.","MATTHEWS, KEVIN P.",
WO2002038001,17.05.2002,MULTISTACK PIZZA BAG,"[09/708,320 08.11.2000 US]",A45C 7/00;A45C 13/36;A47J 47/14;B65D 81/38;B65D 85/36,IGLOO PRODUCTS CORP.,"PEEPLES, Kathleen, G.;FIORE, Joseph, F.",
